A1,A12A,A12B,A12B1,A12B2A,A12B2B,A12B2C,A12B2C2,A12B3A,A12B3B,A12B3C,A12B3C2,A12C,A3,A4,A41,A5,A51,A512,B1,B11B1,B2,B2O,B3,B4,B5,B6,B6O,B7,B8A,B8B,B8C,B8D,B8DO,B9,C1,C2,C22A,C22B,C22C,C3,D1,D1O,D2,D2O,D3,D3O,E1,E11A,E11B,E11C,E21,E22,E23,E3,E32A,E32AO,E32BA,E32BAO,E32BB,E32BBO,E32BC,E32BCO,F1,F11,F21,F22,F23,F3,F321,F322,F323,G1,G2,G3,G4,G5,G6,G7A,G7B,G8,G81,G9,S1,code,w
2,1,3, , , , , ,2,5,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,4,5,12,6,5,4,1,1,3,210623,21,1.073848948
2,2,1,3, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,6,2,14,4,2,2,2, ,3,210810,21,1.073848948
2,1,1,5, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,4,3,11,3,3,3,1,7,3,210844,21,1.073848948
2,,1,4, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,4,4,24,4,3,2,1,1,3,210857,21,1.073848948
2,1,3, , , , , ,3,5,2,7,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,4,3,13,6,5,2,1,1,3,210917,21,1.073848948
2,2,1,1, , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,5,3,12,5,3,3,1,1,3,210973,21,1.073848948
2,1,1,4, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,6,2,22,5,4,2,2, ,3,210979,21,1.073848948
2,,, , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,4,3,12,5,5,3,1,1,3,211230,21,1.073848948
2,1,3, , , , , ,3,5,2,8,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,4,3,14,5,4,,2, ,3,211256,21,1.073848948
2,2,1,4, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,7,2,22,4,3,,1,1,3,211373,21,1.073848948
2,,, , , , , , , , , ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,8,1,23,1,1,,1,3,3,211488,21,1.073848948
2,2,1,3, , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,4,4,15,4,2,1,2, ,3,211555,21,1.073848948
2,1,1,1, , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,3,5,,,3,2,1,1,3,211763,21,0.867431399
2,2,1,2, , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,5,4,13,6,2,2,1,1,3,211820,21,0.867431399
2,2,1,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,4,3,13,7,3,2,1,1,3,211971,21,0.068287591
2,2,, , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,3,5,,6,2,2,1,1,3,212027,21,0.867431399
2,1,3, , , , , ,2,3,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,6,3,22,3,,,1,7,3,212072,21,0.867431399
2,,1,5, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,4,3,,4,,,1,9,3,212098,21,0.867431399
2,,, , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,5,3,,1,3,,2, ,3,212454,21,0.856092274
2,,1,1, , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,3,5,14,3,2,1,2, ,3,212552,21,0.969279321
2,2,1,1, , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,6,3,22,3,3,,1,1,3,212585,21,0.969279321
2,2,, , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,3,5,,3,4,,2, ,3,212812,21,0.969279321
2,2,1,2, , , , , , , , ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,9,1,11,1,5,5,2, ,3,212831,21,0.969279321
2,,1,2, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,5,5,13,4,2,2,1,1,3,212848,21,0.038172103
1, , , , , , , , , , , , ,8,1,3,2, , ,1,13404,5, ,1,4,3,4, ,5,4,2,3,6, ,5, , , , , , ,5, ,2, ,5, ,1,1,, ,1,1,1,1, , , , , , , , ,2, ,6,2,1,2,9,6,3,1,2,3,5,,7,2,1,1,1,3,211651,21,0.867431399
1, , , , , , , , , , , , ,8,1,3,2, , ,1,21346,2, ,1,4,4,8, ,7,4,1,3,6, ,6, , , , , , ,1, ,1, ,2, ,1,1,2,3,2,1,2,1, , , , , , , , ,2, ,1,2,5,2,9,2,3,2,1,3,5,15,2,2,1,1,7,3,211805,21,0.867431399
1, , , , , , , , , , , , ,,2, ,2, , ,2, ,5, ,2,7,1,5, ,5,7,2,2,6, ,3, , , , , , ,9, ,1, ,2, ,1,1,3,7,1,1,1,1, , , , , , , , ,2, ,1,2,4,1, , , ,1,1,5,3,,1,3,,2, ,3,211337,21,1.073848948
1, , , , , , , , , , , , ,1,1,3,1,1, ,2, ,, ,2,5,2,3, ,5,4,2,2,2, ,3, , , , , , ,2, ,1, ,2, ,1,1,7,12,1,1,1,1, , , , , , , , ,2, ,6,1,3,1, , , ,1,1,5,5,14,4,3,3,1,3,3,211119,21,1.073848948
1, , , , , , , , , , , , ,7,1,3,2, , ,2, ,, ,1,7,5,7, ,3,7,4,5,9, ,3, , , , , , ,12,400,1, ,4, ,1,1,3,13,1,2,2,1, , , , , , , , ,2, ,2,1,4,1, , , ,1,1,5,3,14,5,2,2,1,1,3,211673,21,0.867431399
1, , , , , , , , , , , , ,5,1,3,2, , ,2, ,, ,1,3,2,2, ,5,3,2,2,4, ,5, , , , , , ,4, ,1, ,2, ,1,2,, ,1,1,1,1, , , , , , , , ,2, ,1,6,,1, , , ,1,2,6,4,14,3,4,2,1,1,3,210902,21,1.073848948
1, , , , , , , , , , , , ,5,1,3,2, , ,1,31000,, ,1,8,5,8, ,3,8,5,4,10, ,3, , , , , , ,11, ,1, ,8,,1,2,, ,1,1,1,1, , , , , , , , ,2, ,2,, ,1, , , ,1,2,4,1,12,2,2,1,2, ,3,211556,21,1.073848948
1, , , , , , , , , , , , ,3,1,3,2, , ,1,9355,2, ,2,6,4,4, ,4,6,2,3,5, ,3, , , , , , ,2, ,1, ,4, ,1,2,, ,1,1,1,1, , , , , , , , ,2, ,6,, ,1, , , ,2,2,4,4,22,1,2,2,1,1,3,211571,21,1.073848948
1, , , , , , , , , , , , ,5,1,3,2, , ,1,63363,, ,1,8,3,2, ,3,1,1,3,3, ,3, , , , , , ,4, ,1, ,2, ,1,2,, ,1,1,1,1, , , , , , , , ,2, ,1,, ,2,9,, ,2,2,5,3,14,4,3,2,1,1,3,212768,21,0.969279321
1, , , , , , , , , , , , ,6,1,3,2, , ,2, ,2, ,2,8,6,3, ,4,7,2,2,5, ,3, , , , , , ,7, ,1, ,1, ,1,2,3,,2,1,1,1, , , , , , , , ,2, ,6,4,2,1, , , ,1,2,5,2,22,1,3,2,1,1,3,212192,21,0.856092274
1, , , , , , , , , , , , ,8,2, ,2, , ,1,4412,, ,1,1,4,3, ,5,1,1,4,5, ,7, , , , , , ,2, ,1, ,5, ,1,2,3,6,1,1,1,1, , , , , , , , ,2, ,1,7,,2,8,9,1,2,2,5,5,14,2,5,5,1,1,3,212429,21,0.856092274
1, , , , , , , , , , , , ,2,1,3,2, , ,2, ,, ,1,4,2,2, ,5,4,1,3,4, ,5, , , , , , ,2, ,1, ,4, ,1,3,, ,1,1,1,1, , , , , , , , ,2, ,, , ,1, , , ,1,2,5,1,,,3,2,1,7,3,210663,21,1.073848948
1, , , , , , , , , , , , ,7,1,3,2, , ,2, ,3, ,1,2,3,5, ,5,2,1,4,7, ,6, , , , , , ,2, ,1, ,4, ,1,3,, ,1,1,1,1, , , , , , , , ,2, ,3,2,6,2,9,8,7,2,1,6,6,15,9,3,2,1,1,3,211558,21,1.073848948
1, , , , , , , , , , , , ,,2, ,2, , ,2, ,1, ,1,8,2,2, ,5,,1,3,4, ,7, , , , , , ,5, ,1, ,4, ,1,3,, ,1,1,1,1, , , , , , , , ,2, ,1,2,6,1, , , ,1,2,6,2,22,,5,2,1,1,3,212517,21,0.856092274
1, , , , , , , , , , , , ,8,1,3,2, , ,1,55070,, ,1,8,8,, ,3,8,5,3,, ,1, , , , , , ,9, ,1, ,5, ,1,3,, ,2,1,2,1, , , , , , , , ,2, ,1,2,6,1, , , ,1,2,5,3,14,5,3,2,1,1,3,211714,21,0.867431399
1, , , , , , , , , , , , ,3,1,3,2, , ,2, ,5, ,1,8,9,8, ,3,6,2,8,8, ,4, , , , , , ,12,450,1, ,7, ,1,3,2,,1,1,1,1, , , , , , , , ,2, ,1,2,6,2,3,4,1,1,1,4,3,13,6,2,2,1,1,3,211220,21,1.073848948
1, , , , , , , , , , , , ,8,1,3,1,1, ,2, ,3, ,1,7,1,1, ,5,7,,1,1, ,5, , , , , , ,1, ,1, ,1, ,1,3,6,,1,1,2,1, , , , , , , , ,2, ,2,6,3,1, , , ,1,2,3,5,,4,5,5,1,1,3,212262,21,0.856092274
1, , , , , , , , , , , , ,2,1,3,2, , ,1,28945,3, ,1,7,5,3, ,3,7,2,3,5, ,7, , , , , , ,6, ,1, ,3, ,1,3,7,,1,1,2,1, , , , , , , , ,2, ,6,2,1,2,9,8,3,2,1,4,6,12,6,4,3,1,1,3,211124,21,1.073848948
1, , , , , , , , , , , , ,7,1,3,2, , ,1,17658,, ,2,7,,3, ,4,7,3,2,2, ,6, , , , , , ,4, ,1, ,3, ,1,3,7,2,1,1,1,1, , , , , , , , ,2, ,1,4,6,2,8,9,4,1,2,4,5,14,4,3,2,1,1,3,212210,21,0.856092274
1, , , , , , , , , , , , ,1,1,1,2, , ,2, ,, ,1,7,2,2, ,5,6,1,3,3, ,7, , , , , , ,, ,1, ,4, ,1,3,2,9,1,1,1,1, , , , , , , , ,2, ,2,3,,1, , , ,1,1,5,5,15,8,2,2,1,1,3,212191,21,0.856092274
1, , , , , , , , , , , , ,1,1,3,2, , ,1,,, ,1,2,8,3, ,5,1,4,1,5, ,5, , , , , , ,6, ,1, ,2, ,1,4,7,,2,1,2,1, , , , , , , , ,2, ,1,2,6,2,3,1,,1,2,2,3,,3,2,,2, ,3,212145,21,0.856092274
1, , , , , , , , , , , , ,1,1,3,1,1, ,2, ,2, ,1,7,3,5, ,3,7,5,3,5, ,5, , , , , , ,9, ,1, ,7, ,1,4,7,3,3,1,2,1, , , , , , , , ,2, ,5,, ,1, , , ,1,2,4,3,14,3,5,,1,1,3,211996,21,0.867431399
1, , , , , , , , , , , , ,2,1,5,2, , ,1,2011,4, ,1,5,7,8, ,6,5,1,7,10, ,6, , , , , , ,5, ,5, ,7, ,1,5,, ,1,1,2,1, , , , , , , , ,2, ,2,3,,1, , , ,1,1,4,4,12,6,3,2,1,1,3,212729,21,0.038172103
1, , , , , , , , , , , , ,8,2, ,2, , ,1,2885,3, ,1,1,5,7, ,6,1,1,4,9, ,7, , , , , , ,6, ,1, ,3, ,1,5,, ,1,1,2,1, , , , , , , , ,2, ,6,1,4,1, , , ,1,1,6,3,14,5,4,2,1,1,3,212849,21,0.038172103
1, , , , , , , , , , , , ,8,1,3,2, , ,2, ,4, ,1,3,9,8, ,6,3,2,9,10, ,6, , , , , , ,11, ,1, ,3, ,1,5,, ,2,1,2,1, , , , , , , , ,2, ,6,1,,1, , , ,1,1,3,4,12,4,2,2,2, ,3,212732,21,0.038172103
1, , , , , , , , , , , , ,8,1,3,2, , ,2, ,, ,1,8,2,6, ,3,8,3,3,8, ,7, , , , , , ,12,,9,,2, ,1,5,, ,1,2,2,1, , , , , , , , ,2, ,2,1,4,1, , , ,1,1,6,1,12,5,5,2,1,1,3,212624,21,0.969279321
1, , , , , , , , , , , , ,8,1,5,2, , ,2, ,2, ,1,4,6,8, ,6,2,1,6,9, ,6, , , , , , ,12,400,6, ,8,30000,1,5,6,,1,1,2,1, , , , , , , , ,2, ,1,, ,1, , , ,1,1,4,5,14,5,3,1,2, ,3,212627,21,0.038172103
1, , , , , , , , , , , , ,3,1,3,2, , ,2, ,4, ,1,5,7,3, ,6,1,5,3,5, ,1, , , , , , ,5, ,1, ,1, ,1,5,2,,1,1,3,1, , , , , , , , ,2, ,1,6,,1, , , ,2,1,4,4,14,5,5,2,1,1,3,211790,21,0.867431399
1, , , , , , , , , , , , ,8,1,5,2, , ,1,15564,3, ,1,1,5,9,100,6,1,1,5,11,100,7, , , , , , ,6, ,2, ,8,7000,1,5,7,14,1,2,4,1, , , , , , , , ,2, ,1,2,3,1, , , ,1,1,5,3,12,5,4,3,1,1,3,211841,21,0.068287591
1, , , , , , , , , , , , ,2,1,3,2, , ,1,30526,3, ,2,2,3,5, ,5,2,2,2,6, ,5, , , , , , ,2, ,1, ,8,6500,1,7,, ,1,2,1,1, , , , , , , , ,2, ,2,, ,2,1,6,8,1,1,4,4,12,4,2,2,2, ,3,210941,21,1.073848948
1, , , , , , , , , , , , ,8,1,1,2, , ,1,43468,, ,1,4,2,2, ,3,4,2,3,4, ,2, , , , , , ,1, ,2, ,1, ,1,7,, ,1,1,3,1, , , , , , , , ,2, ,1,7,,1, , , ,1,2,5,2,13,4,4,2,1,1,3,210739,21,1.073848948
1, , , , , , , , , , , , ,4,1,3,2, , ,1,11428,2, ,1,7,2,3, ,5,7,1,3,5, ,3, , , , , , ,3, ,1, ,2, ,1,7,3,,1,1,1,1, , , , , , , , ,2, ,1,6,,1, , , ,1,1,7,3,14,6,1,2,1,1,3,211765,21,0.867431399
1, , , , , , , , , , , , ,6,1,1,2, , ,1,6251,4, ,2,7,2,3, ,3,7,2,3,5, ,7, , , , , , ,4, ,1, ,3, ,1,10,, ,1,1,1,1, , , , , , , , ,2, ,2,4,6,1, , , ,1,2,6,2,,3,3,,2, ,3,212722,21,0.969279321
1, , , , , , , , , , , , ,5,1,3,2, , ,2, ,2, ,1,8,8,8, ,3,8,3,3,6, ,7, , , , , , ,7, ,1, ,4, ,1,14,, ,,2,,1, , , , , , , , ,2, ,1,2,,1, , , ,1,1,4,3,13,4,2,1,2, ,3,212470,21,0.856092274
1, , , , , , , , , , , , ,,2, ,2, , ,2, ,1, ,4,3,3,3, ,5,1,3,3,5, ,3, , , , , , ,, ,, ,, ,2, , , ,,,,1, , , , , , , , ,2, ,, , ,1, , , ,1,1,6,2,12,4,3,2,1,1,3,211079,21,1.073848948
1, , , , , , , , , , , , ,8,1,1,2, , ,2, ,5, ,1,1,1,2, ,4,,1,1,4, ,6, , , , , , ,2, ,1, ,1, ,2, , , ,,,,1, , , , , , , , ,2, ,, , ,1, , , ,1,1,6,2,12,,5,3,1,1,3,211115,21,1.073848948
1, , , , , , , , , , , , ,,1,3,2, , ,1,27101,3, ,1,1,5,5, ,6,1,1,5,7, ,7, , , , , , ,2, ,1, ,3, ,2, , , ,,,,1, , , , , , , , ,2, ,6,2,1,1, , , ,2,2,3,5,,4,5,5,1,1,3,211312,21,1.073848948
1, , , , , , , , , , , , ,8,1,3,2, , ,1,35031,, ,1,5,4,6, ,3,5,4,2,6, ,, , , , , , ,2, ,1, ,2, ,2, , , ,,,,1, , , , , , , , ,2, ,7,, ,2,9,, ,1,1,6,3,,5, , ,1,1,3,211563,21,1.073848948
1, , , , , , , , , , , , ,8,2, ,1,1, ,1,11832,, ,1,1,2,2, ,6,,,,, ,7, , , , , , ,, ,, ,, ,2, , , ,,,,1, , , , , , , , ,2, ,, , ,1, , , ,1,1,7,4,13,7,2,,1,1,3,211838,21,0.068287591
1, , , , , , , , , , , , ,1,1,5,2, , ,1,13500,1, ,1,1,2,1, ,6,1,1,3,2, ,, , , , , , ,2, ,3, ,5, ,2, , , ,,,,1, , , , , , , , ,2, ,1,2,3,1, , , ,1,1,3,4,,4,2,2,2, ,3,211842,21,0.068287591
1, , , , , , , , , , , , ,5,1,3,1,1, ,1,76000,1, ,2,7,3,4, ,4,6,1,4,5, ,6, , , , , , ,6, ,3, ,3, ,2, , , ,,,,1, , , , , , , , ,2, ,, , ,2,8,9,,1,2,6,3,22,1,4,,2, ,3,211903,21,0.867431399
1, , , , , , , , , , , , ,,1,3,2, , ,1,6155,, ,1,7,2,, ,5,6,2,3,, ,3, , , , , , ,5, ,1, ,2, ,2, , , ,,,,1, , , , , , , , ,2, ,1,2,6,2,1,5,8,1,2,6,2,22,1,3,2,1,1,3,212093,21,0.867431399
1, , , , , , , , , , , , ,8,1,2,2, , ,2, ,, ,1,1,1,1, ,6,1,1,1,, ,6, , , , , , ,, ,1, ,, ,2, , , ,,,,1, , , , , , , , ,2, ,2,1,,1, , , ,1,1,5,2,,5,3,2,1,1,3,212320,21,0.856092274
1, , , , , , , , , , , , ,7,1,3,2, , ,2, ,, ,1,8,4,2, ,5,8,2,4,4, ,3, , , , , , ,, ,, ,, ,2, , , ,,,,1, , , , , , , , ,2, ,, , ,1, , , ,,,,,,,,,2, ,3,212400,21,0.856092274
1, , , , , , , , , , , , ,3,1,3,2, , ,1,28338,2, ,1,7,8,8, ,3,7,5,3,6, ,, , , , , , ,11, ,1, ,2, ,2, , , ,,,,1, , , , , , , , ,2, ,2,4,6,1, , , ,1,1,5,3,13,6, , ,1,7,3,212623,21,0.969279321
1, , , , , , , , , , , , ,7,1,3,2, , ,2, ,, ,1,8,,, ,5,,,,, ,5, , , , , , ,12,325,1, ,5, ,2, , , ,,,,1, , , , , , , , ,2, ,6,2,1,1, , , ,1,1,8,3,22,1,4,4,1,4,3,212699,21,0.969279321
1, , , , , , , , , , , , ,,1,3,1,1, ,2, ,, ,1,4,3,3, ,5,1,2,4,5, ,5, , , , , , ,5, ,1, ,1, ,2, , , ,1,,,1, , , , , , , , ,2, ,, , ,1, , , ,1,1,9,1,23,,3,,1,,3,210730,21,1.073848948
1, , , , , , , , , , , , ,3,2, ,1,1, ,2, ,4, ,1,2,3,4, ,3,2,1,3,6, , , , , , , , ,7, ,9,1300,8,20000,2, , , ,1,,,1, , , , , , , , ,2, ,1,4,3,2,5,4,7,2,1,7,5,15,7, , ,2, ,3,211403,21,0.012069735
1, , , , , , , , , , , , ,,2, ,2, , ,2, ,, ,1,8,4,1, ,5,,2,4,2, ,5, , , , , , ,3, ,1, ,4, ,2, , , ,1,,,1, , , , , , , , ,2, ,1,2,6,1, , , ,1,2,5,1,22,,5,2,2, ,3,211505,21,1.073848948
1, , , , , , , , , , , , ,7,1,5,2, , ,1,13000,2, ,1,1,5,7, ,6,1,1,5,9, ,6, , , , , , ,1, ,1, ,2, ,2, , , ,1,,,1, , , , , , , , ,2, ,1,, ,1, , , ,1,1,6,6,12,9,2,4,1,1,3,211718,21,0.867431399
1, , , , , , , , , , , , ,5,1,1,1,1, ,2, ,2, ,2,5,5,6, ,7,5,4,5,8, , , , , , , , ,8, ,9,1700,8,,2, , , ,1,,,1, , , , , , , , ,2, ,1,4,2,2,5,7,6,2,1,7,6,15,7, , ,2, ,3,211835,21,0.867431399
1, , , , , , , , , , , , ,3,1,3,1,1, ,2, ,3, ,1,6,7,3, ,3,6,5,4,5, ,, , , , , , ,9, ,7, ,8,,2, , , ,1,1,,1, , , , , , , , ,2, ,1,4,2,1, , , ,1,1,4,2,,4,2,,2, ,3,212655,21,0.969279321
1, , , , , , , , , , , , ,8,1,3,1,1, ,2, ,1, ,1,6,2,1, ,5,6,5,2,1, ,5, , , , , , ,3, ,1, ,5, ,2, , , ,,1,1,1, , , , , , , , ,2, ,1,4,6,1, , , ,1,2,5,1,22,,4,3,1,1,3,211393,21,1.073848948
1, , , , , , , , , , , , ,6,1,3,1,1, ,1,68809,2, ,1,8,9,2, ,6,8,1,4,4, ,5, , , , , , ,6, ,1, ,4, ,2, , , ,,1,1,1, , , , , , , , ,2, ,1,2,6,1, , , ,1,1,6,2,12,4,5,1,1,1,3,211517,21,1.073848948
1, , , , , , , , , , , , ,,2, ,2, , ,2, ,4, ,1,2,2,2, ,5,2,1,3,3, ,6, , , , , , ,1, ,1, ,2, ,2, , , ,1,1,1,1, , , , , , , , ,2, ,2,1,3,1, , , ,2,2,3,5,21,3,5,2,1,4,3,210400,21,1.073848948
1, , , , , , , , , , , , ,8,1,3,2, , ,2, ,5, ,1,6,3,3, ,3,6,3,4,5, ,5, , , , , , ,6, ,1, ,2, ,2, , , ,1,1,1,1, , , , , , , , ,2, ,2,4,6,1, , , ,1,1,6,3,12,4,4,3,1,1,3,210474,21,1.073848948
1, , , , , , , , , , , , ,1,1,3,2, , ,2, ,2, ,1,8,1,4, ,5,7,1,2,5, ,7, , , , , , ,7, ,1, ,1, ,2, , , ,1,1,1,1, , , , , , , , ,2, ,6,, ,2,9,8,,2,1,6,1,,1,5,2,1,1,3,210535,21,1.073848948
1, , , , , , , , , , , , ,8,1,1,1,1, ,2, ,3, ,1,6,2,3, ,3,,1,3,5, ,7, , , , , , ,3, ,1, ,4, ,2, , , ,1,1,1,1, , , , , , , , ,2, ,2,4,,1, , , ,1,1,9,1,23,1,2,,1,4,3,210547,21,1.073848948
1, , , , , , , , , , , , ,2,1,2,2, , ,2, ,, ,1,6,1,2, ,4,6,1,2,4, ,6, , , , , , ,1, ,1, ,4, ,2, , , ,1,1,1,1, , , , , , , , ,2, ,1,2,,1, , , ,1,1,6,3,13,4,3,2,1,1,3,210581,21,1.073848948
1, , , , , , , , , , , , ,7,1,2,1,1, ,2, ,1, ,1,4,1,1, ,5,1,1,1,2, ,5, , , , , , ,2, ,1, ,5, ,2, , , ,1,1,1,1, , , , , , , , ,2, ,2,, ,1, , , ,1,1,6,3,13,,2,2,1,1,3,210617,21,1.073848948
1, , , , , , , , , , , , ,3,1,3,2, , ,2, ,4, ,1,7,1,2, ,6,6,2,1,3, ,7, , , , , , ,2, ,1, ,2, ,2, , , ,1,1,1,1, , , , , , , , ,2, ,1,3,2,1, , , ,1,1,6,4,,5,5,4,1,1,3,210646,21,1.073848948
1, , , , , , , , , , , , ,5,1,3,2, , ,1,,, ,2,7,4,, ,5,7,2,3,, ,5, , , , , , ,2, ,1, ,3, ,2, , , ,1,1,1,1, , , , , , , , ,2, ,2,1,4,1, , , ,2,2,5,3,22,7,2,2,1,4,3,210675,21,1.073848948
1, , , , , , , , , , , , ,8,1,3,2, , ,1,16398,2, ,1,8,5,4, ,3,8,4,3,6, ,5, , , , , , ,7, ,1, ,3, ,2, , , ,1,1,1,1, , , , , , , , ,2, ,1,6,2,2,9,, ,1,1,9,1,11,2,4,3,2, ,3,210715,21,1.073848948
1, , , , , , , , , , , , ,7,1,3,2, , ,2, ,2, ,1,2,3,4, ,5,2,1,4,6, ,2, , , , , , ,3, ,1, ,1, ,2, , , ,1,1,1,1, , , , , , , , ,2, ,2,1,,2,10,, ,1,2,5,4,15,5,2,2,1,4,3,210727,21,1.073848948
1, , , , , , , , , , , , ,6,1,1,2, , ,1,77668,2, ,1,5,5,4, ,5,3,2,3,, ,7, , , , , , ,2, ,1, ,1, ,2, , , ,1,1,1,1, , , , , , , , ,2, ,1,2,6,1, , , ,1,2,6,5,23,1,3,3,1,1,3,210736,21,1.073848948
1, , , , , , , , , , , , ,5,2, ,2, , ,2, ,, ,1,3,2,1, ,3,1,1,3,2, ,, , , , , , ,1, ,1, ,1, ,2, , , ,1,1,1,1, , , , , , , , ,2, ,2,4,6,1, , , ,1,1,6,2,13,,,,2, ,3,210751,21,1.073848948
1, , , , , , , , , , , , ,4,1,1,2, , ,2, ,1, ,1,5,2,3, ,5,4,2,2,2, ,5, , , , , , ,3, ,6, ,3, ,2, , , ,1,1,1,1, , , , , , , , ,2, ,1,2,4,2,9,8,3,1,2,6,5,14,2,2,1,1,1,3,210753,21,1.073848948
1, , , , , , , , , , , , ,8,1,3,2, , ,1,26966,1, ,1,1,2,2, ,5,1,1,3,2, ,1, , , , , , ,1, ,1, ,3, ,2, , , ,1,1,1,1, , , , , , , , ,2, ,1,, ,1, , , ,,,,,,,,,2, ,3,210761,21,1.073848948
1, , , , , , , , , , , , ,,2, ,1,1, ,1,59266,3, ,2,1,2,5, ,4,1,1,3,7, ,1, , , , , , ,5, ,1, ,3, ,2, , , ,1,1,1,1, , , , , , , , ,2, ,1,2,3,1, , , ,2,2,5,3,,4,2,2,1,1,3,210771,21,1.073848948
1, , , , , , , , , , , , ,2,1,3,2, , ,2, ,3, ,2,6,1,1, ,4,6,2,2,2, ,5, , , , , , ,5, ,3, ,2, ,2, , , ,1,1,1,1, , , , , , , , ,2, ,2,6,1,1, , , ,1,1,5,4,14,3,2,2,1,7,3,210780,21,1.073848948
1, , , , , , , , , , , , ,2,1,4,2, , ,1,50000,2, ,1,3,2,2, ,6,3,2,2,3, ,6, , , , , , ,3, ,1, ,6, ,2, , , ,1,1,1,1, , , , , , , , ,2, ,2,1,4,2,3,4,7,1,1,5,6,15,7,4,2,1,1,3,210781,21,1.073848948
1, , , , , , , , , , , , ,2,2, ,2, , ,1,8636,2, ,1,4,1,2, ,5,4,1,2,3, ,3, , , , , , ,2, ,1, ,5, ,2, , , ,1,1,1,1, , , , , , , , ,2, ,2,1,,2,9,8,,2,1,9,3,23,3,3,2,1,1,3,210815,21,1.073848948
1, , , , , , , , , , , , ,4,2, ,2, , ,2, ,3, ,1,4,2,2, ,5,3,1,3,3, ,5, , , , , , ,3, ,1, ,3, ,2, , , ,1,1,1,1, , , , , , , , ,2, ,1,4,,1, , , ,1,2,7,1,22,1,3,2,2, ,3,210841,21,1.073848948
1, , , , , , , , , , , , ,6,1,3,2, , ,2, ,2, ,1,1,3,4, ,6,1,2,3,5, ,5, , , , , , ,1, ,1, ,1, ,2, , , ,1,1,1,1, , , , , , , , ,2, ,1,4,6,2,9,10,7,1,2,4,5,12,6,3,2,1,1,3,210849,21,1.073848948
