A1,A12A,A12B,A12B1,A12B2A,A12B2B,A12B2C,A12B2C2,A12B3A,A12B3B,A12B3C,A12B3C2,A12C,A3,A4,A41,A5,A51,A512,B1,B11B1,B2,B2O,B3,B4,B5,B6,B6O,B7,B8A,B8B,B8C,B8D,B8DO,B9,C1,C2,C22A,C22B,C22C,C3,D1,D1O,D2,D2O,D3,D3O,E1,E11A,E11B,E11C,E21,E22,E23,E3,E32A,E32AO,E32BA,E32BAO,E32BB,E32BBO,E32BC,E32BCO,F1,F11,F21,F22,F23,F3,F321,F322,F323,G1,G2,G3,G4,G5,G6,G7A,G7B,G8,G81,G9,S1,code,w
1, , , , , , , , , , , , ,2,1,2,2, , ,1,36426,5, ,1,8,3,4, ,6,8,2,3,5, ,5, , , , , , ,2, ,1, ,2, ,2, , , ,1,1,1,1, , , , , , , , ,1,2,1,2,4,1, , , ,1,1,9,1,,1,2,,1,8,21,240004,24,1.121242878
1, , , , , , , , , , , , ,,2, ,1,1, ,1,1679,, ,1,3,2,2, ,7,3,1,2,3, ,, , , , , , , , ,, ,, ,2, , , ,1,1,1,1, , , , , , , , ,1,2,, , ,2,3,6,4,2,2,6,2,12,8, , ,1,1,21,240153,24,0.016897629
1, , , , , , , , , , , , ,5,1,,1,1, ,2, ,4, ,1,1,1,1, ,4,1,1,2,2, ,1, , , , , , ,1, ,1, ,3, ,2, , , ,1,1,1,1, , , , , , , , ,1,3,1,2,4,1, , , ,1,2,4,2,,3,4,2,1,4,21,240109,24,0.081790204
1, , , , , , , , , , , , ,4,2, ,2, , ,2, ,3, ,1,3,1,2, ,5,2,1,2,3, ,3, , , , , , ,2, ,1, ,1, ,2, , , ,1,1,1,1, , , , , , , , ,1,5,2,1,4,2,, , ,1,1,8,6,15,9,3,2,1,1,21,240020,24,1.121242878
1, , , , , , , , , , , , ,8,1,,2, , ,1,4806,1, ,1,6,2,1, ,1,6,2,3,1, ,3,3,1, , , ,6,2, ,1, ,2, ,2, , , ,1,1,1,1, , , , , , , , ,1,1,4,1,6,1, , , ,1,2,6,1,14,3,4,2,2, ,21,240172,24,0.016897629
1, , , , , , , , , , , , ,,2, ,2, , ,2, ,2, ,2,7,3,3, ,1,7,,,, ,5,1,1, , , ,1,9, ,1, ,4, ,2, , , ,,1,,1, , , , , , , , ,2, ,2,, ,2,8,, ,1,1,9,1,23,1,3,,1,4,21,240170,24,0.081790204
1, , , , , , , , , , , , ,4,1,3,2, , ,1,1680, , ,1,5,2,2, ,1,5,3,,2, ,3,2,1, , , ,1, , ,1, ,2, ,2, , , ,1,,,1, , , , , , , , ,1,1,1,4,,1, , , ,1,1,3,5,,4,2,2,1,4,21,240143,24,0.016897629
1, , , , , , , , , , , , ,6,2, ,2, , ,1,11305,, ,1,6,2,1, ,1,4,2,3,2, ,6,4,1, , , ,6,3, ,1, ,3, ,2, , , ,1,1,1,1, , , , , , , , ,1,2,1,2,4,2,2,5,8,1,2,3,3,14,4,3,2,1,1,21,240072,24,0.355169701
2,1,2, ,1,2,2,4, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,6,2,12,3,3,3, , , ,230047,23,1.248407558
2,1,2, ,,2,2,4, , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,5,3,13,4,,,2, ,4,230013,23,1.248407558
2,1,2, ,3,2,1, , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,5,2,,2,,2,1,4,4,230060,23,1.248407558
2,1,2, ,3,2,2,5, , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,2, ,4,230095,23,1.248407558
2,1,1,4, , , , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,7,3,12,4,2,1, , , ,230039,23,1.248407558
2,1,1,4, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,6,2,12,3,3,3, , , ,230045,23,1.248407558
2,2,1,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,8,5,,1,2,2, , , ,230082,23,1.248407558
2,1,3, , , , , ,3,3,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,5,3,14,6,2,2, , , ,230101,23,1.248407558
2,1,3, , , , , ,3,4,2,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,6,2,,,5,2, , , ,230164,23,1.248407558
2,1,1,4, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,5,3,12,3,3,2, , , ,230184,23,1.248407558
2,2,3, , , , , ,1,4,2,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,9,1,23,3,3,, , , ,230284,23,1.248407558
2,1,1,4, , , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,5,3,22,1,2,3, , , ,230361,23,1.248407558
2,2,3, , , , , ,1,4,2,5,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,6,2,12,3,4,3, , , ,230367,23,1.248407558
2,1,3, , , , , ,2,4,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,6,2,22,,4,2, , , ,230915,23,1.248407558
